,Rank,Title,Score,Your Score,0,genres,studio,voice actors,media type,year
645,646,Asu no Yoichi!,6.93,,https://myanimelist.net/anime/4999/Asu_no_Yoichi,"['Harem', 'Comedy', 'Parody', 'School']",Studio Deen,"['Kondou, Takashi', 'Horinaka, Yuki', 'Saitou, Yuka', 'Honda, Mariko', 'Togashi, Misuzu', 'Shimizu, Ai', 'Noto, Mamiko', 'Kosuge, Mami', 'Sakurai, Takahiro', 'Yamamoto, Kazutomi']",TV,2009
646,647,Kokoro ga Sakebitagatterunda.,8.15,,https://myanimelist.net/anime/28725/Kokoro_ga_Sakebitagatterunda,"['Comedy', 'Ecchi', 'Sci-Fi', 'Super Power', 'Supernatural']",MAPPA,"['Inoue, Marina', 'Amamiya, Sora', 'Kotobuki, Minako', 'Kugimiya, Rie', 'Tomatsu, Haruka', 'Yoshida, Yuuri', 'Shouji, Yui', 'Yamada, Mari', 'Akabane, Kenji', 'Date, Arisa']",TV,2015
647,648,Death Billiards,8.00,,https://myanimelist.net/anime/14353/Death_Billiards,"['Adventure', 'Seinen']",Madhouse,"['Hanazawa, Kana', 'Iguchi, Yuka', 'Hayami, Saori', 'Minase, Inori', 'Noto, Mamiko', 'Kanemoto, Hisako', 'Fukushima, Jun', 'Lynn', 'Matsuoka, Yoshitsugu', 'Kayano, Ai']",TV,2018
648,649,Karneval,7.29,,https://myanimelist.net/anime/16035/Karneval,"['Action', 'Harem', 'Supernatural', 'Romance', 'Shoujo']",J.C.Staff,"['Yoshino, Hiroyuki', 'Fukuyama, Jun', 'Nakamura, Yuuichi', 'Yusa, Kouji', 'Yonaga, Tsubasa', 'Noto, Mamiko', 'Sugita, Tomokazu', 'Kosugi, Juurouta', 'Tachiki, Fumihiko', 'Inoue, Kikuko']",TV,2012
649,650,Natsume Yuujinchou Shi,8.71,,https://myanimelist.net/anime/11665/Natsume_Yuujinchou_Shi,"['Drama', 'Music', 'Romance', 'Slice of Life']",Satelight,"['Nabatame, Hitomi', 'Yonezawa, Madoka', 'Mizushima, Takahiro', 'Terashima, Takuma', 'Natsuki, Rio', 'Nakagami, Ikumi', 'Kashiwagi, Miyuu', 'Mochizuki, Rei', 'Mogami, Tsuguo', 'Ono, Ryouko']",TV,2013
650,651,Terra Formars,7.13,,https://myanimelist.net/anime/22687/Terra_Formars,"['Slice of Life', 'Drama', 'Romance', 'Shoujo']",Studio Ghibli,"['Honna, Youko', 'Takahashi, Issei', 'Kobayashi, Keijuu', 'Yamashita, Yorie', 'Tachibana, Takashi', 'Yoshiyama, Maiko', 'Muroi, Shigeru']",Movie,1995
651,652,Punch Line,7.10,,https://myanimelist.net/anime/28617/Punch_Line,"['Drama', 'Romance', 'School']",A-1 Pictures,"['Minase, Inori', 'Uchiyama, Kouki', 'Hosoya, Yoshimasa', 'Amamiya, Sora', 'Makino, Yui', 'Takahashi, Rie', 'Fujiwara, Keiji', 'Yoshida, You', 'Kijima, Ryuuichi', 'Tazawa, Masumi']",Movie,2015
652,653,Mimi wo Sumaseba,8.29,,https://myanimelist.net/anime/585/Mimi_wo_Sumaseba,"['Comedy', 'School', 'Shounen']",Tatsunoko Production,"['Yoshino, Hiroyuki', 'Sugita, Tomokazu', 'Shiraishi, Ryoko', 'Sugita, Tomokazu', 'Kugimiya, Rie', 'Sakaguchi, Daisuke', 'Watanabe, Shinichi', 'Shimono, Hiro', 'Seki, Tomokazu', 'Kayano, Ai']",TV,2011
653,654,Myself; Yourself,7.32,,https://myanimelist.net/anime/2926/Myself__Yourself,"['Action', 'Supernatural', 'Vampire']",Gonzo,"['Touchi, Hiroki', 'Nakai, Kazuya', 'Minagawa, Junko', 'Noto, Mamiko', 'Honda, Takako', 'Suwabe, Junichi', 'Suzumura, Kenichi', 'Matsuoka, Yuki', 'Kitade, Shinya', 'Fujiwara, Keiji']",TV,2005
654,655,Gankutsuou,8.21,,https://myanimelist.net/anime/239/Gankutsuou,"['Sci-Fi', 'Mystery']",A-1 Pictures,"['Kaji, Yuki', 'Sakura, Ayane', 'Kakihara, Tetsuya', 'Sawashiro, Miyuki', 'Yoshida, Hitomi', 'Ishikawa, Kaito', 'Taniyama, Kishou', 'Itou, Shizuka', 'Noto, Mamiko', 'Akesaka, Satomi']",TV,2016
655,656,Saenai Heroine no Sodatekata â­,7.89,,https://myanimelist.net/anime/30727/Saenai_Heroine_no_Sodatekata_♭,"['Harem', 'Comedy', 'Ecchi', 'School']",GoHands,"['Yuzuki, Ryouka', 'Toyoguchi, Megumi', 'Terashima, Takuma', 'Katou, Emiri', 'Matsuoka, Yuki', 'Miyake, Kaya', 'Shiraishi, Minoru', 'Akimoto, Yousuke', 'Koyasu, Takehito', 'Kosugi, Juurouta']",TV,2009
656,657,White Album 2,7.87,,https://myanimelist.net/anime/18245/White_Album_2,"['Comedy', 'Supernatural', 'Romance', 'Vampire', 'Fantasy', 'School', 'Shounen']",TMS Entertainment,"['Serizawa, Yuu', 'Ichimichi, Mao', 'Minase, Inori', 'Hanae, Natsuki', 'Ueda, Reina', 'Uchida, Aya', 'Nitta, Emi', 'Hirakawa, Daisuke', 'Hatano, Wataru', 'Shimono, Hiro']",TV,2015
657,658,Seirei no Moribito,8.20,,https://myanimelist.net/anime/1827/Seirei_no_Moribito,"['Sci-Fi', 'Mystery', 'Drama', 'Mecha', 'School']",Production I.G,"['Nazuka, Kaori', 'Nanjo, Yoshino', 'Kimura, Ryouhei', 'Kugimiya, Rie', 'Hosoya, Yoshimasa', 'Tokui, Sora', 'Yamamoto, Ayano', 'Honda, Takako', 'Inoue, Kikuko', 'Morikawa, Toshiyuki']",TV,2012
658,659,Chrome Shelled Regios,7.49,,https://myanimelist.net/anime/4186/Chrome_Shelled_Regios,"['Action', 'Comedy', 'Drama']",Satelight,"['Uemura, Yuuto', 'Kobayashi, Daiki', 'Kakihara, Tetsuya', 'Seki, Tomokazu', 'Shiozaki, Ire', 'Akesaka, Satomi', 'Hoshi, Soichiro', 'Okuyama, Keito', 'Tsuda, Kenjirou', 'Toyonaga, Toshiyuki']",TV,2016
659,660,Nanbaka,7.42,,https://myanimelist.net/anime/30016/Nanbaka,['Mystery'],TROYCA,"['Itou, Shizuka', 'Enoki, Junya', 'Imamura, Ayaka', 'Ishida, Akira', 'Inoue, Kikuko', 'Kakihara, Tetsuya', 'Isobe, Masako', 'Sudou, Fuuka', 'Koyasu, Takehito', 'Takahashi, Hiroki']",TV,2015
660,661,Gatchaman Crowds,7.41,,https://myanimelist.net/anime/18229/Gatchaman_Crowds,"['Comedy', 'Ecchi', 'Harem', 'Romance', 'School']",A-1 Pictures,"['Yasuno, Kiyono', 'Kayano, Ai', 'Oonishi, Saori', 'Matsuoka, Yoshitsugu', 'Yahagi, Sayuri', 'Akasaki, Chinatsu', 'Uchida, Yuuma', 'Kakihara, Tetsuya', 'Tanabe, Rui', 'Nabatame, Hitomi']",TV,2017
661,662,Seitokai no Ichizon,7.45,,https://myanimelist.net/anime/5909/Seitokai_no_Ichizon,"['Action', 'Drama', 'Fantasy', 'Magic', 'School']",Diomedea,"['Matsuoka, Yoshitsugu', 'Touyama, Nao', 'Yamamoto, Nozomi', 'Nomizu, Iori', 'Taneda, Risa', 'Yamada, Yuki', 'Hara, Yuuko', 'Kakihara, Tetsuya', 'Zougou, Saeko', 'Yao, Yukiko']",TV,2015
662,663,Arcana Famiglia,6.40,,https://myanimelist.net/anime/12967/Arcana_Famiglia,"['Military', 'Sci-Fi', 'Space', 'Drama']",Artland,"['Tomiyama, Kei', 'Horikawa, Ryo', 'Wakamoto, Norio', 'Shiozawa, Kaneto', 'Hironaka, Masashi', 'Mori, Katsuji', 'Hazama, Michio', 'Sasaki, Nozomu', 'Katsuki, Masako', 'Inoue, Kazuhiko']",OVA,1988
