,Rank,Title,Score,Your Score,0,genres,studio,voice actors,media type,year
0,1,Death Note,8.66,,https://myanimelist.net/anime/1535/Death_Note,"['Mystery', 'Police', 'Psychological', 'Supernatural', 'Thriller', 'Shounen']",Madhouse,"['Yamaguchi, Kappei', 'Miyano, Mamoru', 'Nakamura, Shidou', 'Hidaka, Noriko', 'Hirano, Aya', 'Sasaki, Nozomu', 'Nishimura, Tomohiro', 'Matsukaze, Masaya', 'Naitou, Ryou', 'Saito, Kimiko']",TV,2006
1,2,Shingeki no Kyojin,8.48,,https://myanimelist.net/anime/16498/Shingeki_no_Kyojin,"['Action', 'Military', 'Mystery', 'Super Power', 'Drama', 'Fantasy', 'Shounen']",Wit Studio,"['Ishikawa, Yui', 'Kaji, Yuki', 'Inoue, Marina', 'Kamiya, Hiroshi', 'Kobayashi, Yuu', 'Park, Romi', 'Shimamura, Yuu', 'Ono, Daisuke', 'Taniyama, Kishou', 'Fujita, Saki']",TV,2013
2,3,Sword Art Online,7.60,,https://myanimelist.net/anime/11757/Sword_Art_Online,"['Action', 'Adventure', 'Fantasy', 'Game', 'Romance']",A-1 Pictures,"['Matsuoka, Yoshitsugu', 'Tomatsu, Haruka', 'Taketatsu, Ayana', 'Itou, Kanae', 'Hidaka, Rina', 'Hirata, Hiroaki', 'Takagaki, Ayahi', 'Hayami, Saori', 'Yamadera, Kouichi', 'Yasumoto, Hiroki']",TV,2012
3,4,Fullmetal Alchemist: Brotherhood,9.24,,https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Magic', 'Military', 'Shounen']",Bones,"['Park, Romi', 'Kugimiya, Rie', 'Miki, Shinichiro', 'Fujiwara, Keiji', 'Nakamura, Yuuichi', 'Orikasa, Fumiko', 'Miyano, Mamoru', 'Utsumi, Kenji', 'Takamoto, Megumi', 'Takayama, Minami']",TV,2009
4,5,One Punch Man,8.71,,https://myanimelist.net/anime/30276/One_Punch_Man,"['Action', 'Sci-Fi', 'Comedy', 'Parody', 'Super Power', 'Supernatural', 'Seinen']",Madhouse,"['Furukawa, Makoto', 'Ishikawa, Kaito', 'Nakamura, Yuuichi', 'Yuuki, Aoi', 'Kaji, Yuki', 'Hayami, Saori', 'Yasumoto, Hiroki', 'Hatano, Wataru', 'Onosaka, Masaya', 'Morikawa, Toshiyuki']",TV,2015
5,6,Tokyo Ghoul,7.99,,https://myanimelist.net/anime/22319/Tokyo_Ghoul,"['Action', 'Mystery', 'Horror', 'Psychological', 'Supernatural', 'Drama', 'Seinen']",Studio Pierrot,"['Kobori, Yurie', 'Amamiya, Sora', 'Kugimiya, Rie', 'Miyano, Mamoru', 'Sakurai, Takahiro', 'Toyonaga, Toshiyuki', 'Sakamoto, Maaya', 'Kaji, Yuki', 'Hanazawa, Kana', 'Namikawa, Daisuke']",TV,2014
6,7,Steins;Gate,9.14,,https://myanimelist.net/anime/9253/Steins_Gate,"['Thriller', 'Sci-Fi']",White Fox,"['Miyano, Mamoru', 'Imai, Asami', 'Hanazawa, Kana', 'Seki, Tomokazu', 'Tamura, Yukari', 'Kobayashi, Yuu', 'Momoi, Haruko', 'Gotou, Saori', 'Terasoma, Masaki', 'Yamamoto, Ayano']",TV,2011
7,8,Angel Beats!,8.29,,https://myanimelist.net/anime/6547/Angel_Beats,"['Action', 'Comedy', 'Drama', 'School', 'Supernatural']",P.A. Works,"['Hanazawa, Kana', 'Sakurai, Harumi', 'Kitamura, Eri', 'Kamiya, Hiroshi', 'Kimura, Ryouhei', 'Rivas, Michael', 'Sawashiro, Miyuki', 'Saito, Fuko', 'Ogata, Megumi', 'Takagi, Shun']",TV,2010
8,9,No Game No Life,8.39,,https://myanimelist.net/anime/19815/No_Game_No_Life,"['Action', 'Military', 'Sci-Fi', 'Super Power', 'Drama', 'Mecha', 'School']",Sunrise,"['Fukuyama, Jun', 'Yukana', 'Koshimizu, Ami', 'Sakurai, Takahiro', 'Narita, Ken', 'Orikasa, Fumiko', 'Shiratori, Tetsu', 'Minami, Omi', 'Nazuka, Kaori', 'Minagawa, Junko']",TV,2006
9,10,Naruto,7.89,,https://myanimelist.net/anime/20/Naruto,"['Action', 'Adventure', 'Comedy', 'Super Power', 'Martial Arts', 'Shounen']",Studio Pierrot,"['Takeuchi, Junko', 'Inoue, Kazuhiko', 'Sugiyama, Noriaki', 'Nakamura, Chie', 'Ishikawa, Hideo', 'Ishida, Akira', 'Canna, Nobutoshi', 'Mizuki, Nana', 'Ootsuka, Houchuu', 'Morikawa, Toshiyuki']",TV,2002
10,11,Code Geass: Hangyaku no Lelouch,8.78,,https://myanimelist.net/anime/1575/Code_Geass__Hangyaku_no_Lelouch,"['Action', 'Military', 'Sci-Fi', 'Super Power', 'Drama', 'Mecha', 'School']",Sunrise,"['Fukuyama, Jun', 'Yukana', 'Koshimizu, Ami', 'Sakurai, Takahiro', 'Narita, Ken', 'Orikasa, Fumiko', 'Shiratori, Tetsu', 'Minami, Omi', 'Nazuka, Kaori', 'Minagawa, Junko']",TV,2006
11,12,Mirai Nikki,7.85,,https://myanimelist.net/anime/10620/Mirai_Nikki,"['Action', 'Mystery', 'Psychological', 'Shounen', 'Supernatural', 'Thriller']",Asread,"['Murata, Tomosa', 'Togashi, Misuzu', 'Aizawa, Mai', 'Ishida, Akira', 'Kawahara, Yoshihisa', 'Wakamoto, Norio', 'Sendai, Eri', 'Honda, Manami', 'Sanada, Asami', 'Seki, Tomokazu']",TV,2011
12,13,Toradora!,8.38,,https://myanimelist.net/anime/4224/Toradora,"['Slice of Life', 'Comedy', 'Romance', 'School']",J.C.Staff,"['Kugimiya, Rie', 'Majima, Junji', 'Horie, Yui', 'Kitamura, Eri', 'Nojima, Hirofumi', 'Gotou, Saori', 'Ohara, Sayaka', 'Kaida, Yuuko', 'Yoshino, Hiroyuki', 'Tanaka, Rie']",TV,2008
13,14,Noragami,8.14,,https://myanimelist.net/anime/20507/Noragami,"['Action', 'Demons', 'Fantasy', 'Shounen', 'Supernatural']",A-1 Pictures,"['Watanabe, Akeno', 'Fukuyama, Jun', 'Kamiya, Hiroshi', 'Kakihara, Tetsuya', 'Takagaki, Ayahi', 'Satou, Rina', 'Hanazawa, Kana', 'Fujiwara, Keiji', 'Nakai, Kazuya', 'Yusa, Kouji']",TV,2011
14,15,Ao no Exorcist,7.81,,https://myanimelist.net/anime/9919/Ao_no_Exorcist,"['Action', 'Adventure', 'Comedy', 'Supernatural', 'Shounen']",Bones,"['Kamiya, Hiroshi', 'Kaji, Yuki', 'Uchida, Maaya', 'Sawashiro, Miyuki', 'Toyosaki, Aki', 'Fukuyama, Jun', 'Kugimiya, Rie', 'Ono, Daisuke', 'Sakurai, Takahiro', 'Inoue, Kazuhiko']",TV,2014
15,16,Boku no Hero Academia,8.43,,https://myanimelist.net/anime/31964/Boku_no_Hero_Academia,"['Action', 'Game', 'Adventure', 'Romance', 'Fantasy']",A-1 Pictures,"['Matsuoka, Yoshitsugu', 'Tomatsu, Haruka', 'Sawashiro, Miyuki', 'Yuuki, Aoi', 'Itou, Kanae', 'Taketatsu, Ayana', 'Hidaka, Rina', 'Hirata, Hiroaki', 'Takagaki, Ayahi', 'Yasumoto, Hiroki']",TV,2014
16,17,Sword Art Online II,7.17,,https://myanimelist.net/anime/21881/Sword_Art_Online_II,"['Action', 'Horror', 'Psychological', 'Supernatural', 'Drama', 'Romance', 'Seinen']",Arms,"['Kobayashi, Sanae', 'Matsuoka, Yuki', 'Suzuki, Chihiro', 'Hagiwara, Emiko', 'Noto, Mamiko', 'Kawakami, Tomoko', 'Nakata, Jouji', 'Hosoi, Osamu', 'Takahashi, Mikako', 'Yamamoto, Maria']",TV,2004
17,18,Elfen Lied,7.73,,https://myanimelist.net/anime/226/Elfen_Lied,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Magic', 'Shounen']",Satelight,"['Kakihara, Tetsuya', 'Ohara, Sayaka', 'Kitamura, Eri', 'Hirano, Aya', 'Kugimiya, Rie', 'Sato, Satomi', 'Horie, Yui', 'Nakahara, Mai', 'Konishi, Katsuyuki', 'Namikawa, Daisuke']",TV,2009
18,19,Fairy Tail,8.05,,https://myanimelist.net/anime/6702/Fairy_Tail,"['Action', 'Adventure', 'Comedy', 'Super Power', 'Supernatural', 'Shounen']",Studio Pierrot,"['Matsuoka, Yuki', 'Orikasa, Fumiko', 'Itou, Kentarou', 'Matsuoka, Yuki', 'Sugiyama, Noriaki', 'Yasumoto, Hiroki', 'Tachiki, Fumihiko', 'Park, Romi', 'Namikawa, Daisuke', 'Miki, Shinichiro']",TV,2004
19,20,Bleach,7.89,,https://myanimelist.net/anime/269/Bleach,"['Action', 'Comedy', 'School', 'Shounen', 'Super Power']",Bones,"['Yamashita, Daiki', 'Okamoto, Nobuhiko', 'Miyake, Kenta', 'Sakura, Ayane', 'Ishikawa, Kaito', 'Kaji, Yuki', 'Yuuki, Aoi', 'Suwabe, Junichi', 'Masuda, Toshiki', 'Hosoya, Yoshimasa']",TV,2016
20,21,Naruto: Shippuuden,8.19,,https://myanimelist.net/anime/1735/Naruto__Shippuuden,"['Action', 'Adventure', 'Comedy', 'Super Power', 'Martial Arts', 'Shounen']",Studio Pierrot,"['Takeuchi, Junko', 'Inoue, Kazuhiko', 'Sugiyama, Noriaki', 'Nakamura, Chie', 'Ishikawa, Hideo', 'Ishida, Akira', 'Morikubo, Shoutarou', 'Mizuki, Nana', 'Ootsuka, Houchuu', 'Morikawa, Toshiyuki']",TV,2007
21,22,Kimi no Na wa.,9.15,,https://myanimelist.net/anime/32281/Kimi_no_Na_wa,"['Romance', 'Supernatural', 'School', 'Drama']",CoMix Wave Films,"['Kamishiraishi, Mone', 'Kamiki, Ryunosuke', 'Hanazawa, Kana', 'Nagasawa, Masami', 'Tani, Kanon', 'Ichihara, Etsuko', 'Narita, Ryou', 'Shimazaki, Nobunaga', 'Yuuki, Aoi', 'Ishikawa, Kaito']",Movie,2016
22,23,Tengen Toppa Gurren Lagann,8.73,,https://myanimelist.net/anime/2001/Tengen_Toppa_Gurren_Lagann,"['Action', 'Military', 'Sci-Fi', 'Super Power', 'Drama', 'Mecha']",Sunrise,"['Fukuyama, Jun', 'Yukana', 'Koshimizu, Ami', 'Sakurai, Takahiro', 'Narita, Ken', 'Orikasa, Fumiko', 'Shiratori, Tetsu', 'Mizushima, Takahiro', 'Nazuka, Kaori', 'Minagawa, Junko']",TV,2008
23,24,Code Geass: Hangyaku no Lelouch R2,8.94,,https://myanimelist.net/anime/2904/Code_Geass__Hangyaku_no_Lelouch_R2,"['Action', 'Fantasy', 'Comedy', 'Supernatural', 'Shounen']",Bones,"['Miyano, Mamoru', 'Uchiyama, Kouki', 'Omigawa, Chiaki', 'Kobayashi, Yumiko', 'Nazuka, Kaori', 'Takahira, Narumi', 'Watanabe, Akeno', 'Hanba, Tomoe', 'Sakamoto, Maaya', 'Koyasu, Takehito']",TV,2008
24,25,Akame ga Kill!,7.78,,https://myanimelist.net/anime/22199/Akame_ga_Kill,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Magic', 'Military', 'Shounen']",Bones,"['Park, Romi', 'Kugimiya, Rie', 'Ookawa, Tooru', 'Fujiwara, Keiji', 'Suwabe, Junichi', 'Neya, Michiko', 'Utsumi, Kenji', 'Toyoguchi, Megumi', 'Yamaguchi, Mayumi', 'Ebara, Masashi']",TV,2003
25,26,Soul Eater,8.02,,https://myanimelist.net/anime/3588/Soul_Eater,"['Action', 'Adventure', 'Fantasy', 'Drama', 'Shounen']",White Fox,"['Amamiya, Sora', 'Tamura, Yukari', 'Saitou, Souma', 'Asakawa, Yuu', 'Akesaka, Satomi', 'Matsuoka, Yoshitsugu', 'Nazuka, Kaori', 'Konishi, Katsuyuki', 'Ohashi, Ayaka', 'Noto, Mamiko']",TV,2014
26,27,Fullmetal Alchemist,8.28,,https://myanimelist.net/anime/121/Fullmetal_Alchemist,"['Mystery', 'Horror', 'Supernatural', 'Thriller', 'School']",P.A. Works,"['Takamori, Natsumi', 'Abe, Atsushi', 'Yonezawa, Madoka', 'Maeno, Tomoaki', 'Yamamoto, Kazutomi', 'Hirata, Hiroaki', 'Nonaka, Ai', 'Ichiki, Mitsuhiro']",TV,2012
27,28,Kill la Kill,8.18,,https://myanimelist.net/anime/18679/Kill_la_Kill,"['Action', 'Comedy', 'Super Power', 'Ecchi', 'School']",Trigger,"['Koshimizu, Ami', 'Yuzuki, Ryouka', 'Suzaki, Aya', 'Seki, Toshihiko', 'Shintani, Mayumi', 'Tamura, Yukari', 'Inada, Tetsu', 'Miki, Shinichiro', 'Hiyama, Nobuyuki', 'Park, Romi']",TV,2013
28,29,Another,7.74,,https://myanimelist.net/anime/11111/Another,"['Romance', 'Supernatural', 'School', 'Drama']",CoMix Wave Films,"['Kamishiraishi, Mone', 'Kamiki, Ryunosuke', 'Hanazawa, Kana', 'Nagasawa, Masami', 'Tani, Kanon', 'Ichihara, Etsuko', 'Narita, Ryou', 'Shimazaki, Nobunaga', 'Yuuki, Aoi', 'Ishikawa, Kaito']",Movie,2016
29,30,Psycho-Pass,8.44,,https://myanimelist.net/anime/13601/Psycho-Pass,"['Action', 'Police', 'Psychological', 'Sci-Fi']",Production I.G,"['Seki, Tomokazu', 'Sakurai, Takahiro', 'Hanazawa, Kana', 'Nojima, Kenji', 'Ishida, Akira', 'Arimoto, Kinryuu', 'Itou, Shizuka', 'Yamaji, Kazuhiro', 'Sawashiro, Miyuki', 'Hidaka, Noriko']",TV,2012
30,31,Hunter x Hunter (2011),9.11,,https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011,"['Action', 'Mystery', 'Supernatural']",Brain's Base,"['Kamiya, Hiroshi', 'Ono, Daisuke', 'Sawashiro, Miyuki', 'Miyano, Mamoru', 'Toyonaga, Toshiyuki', 'Hanazawa, Kana', 'Onosaka, Masaya', 'Aoki, Sayaka', 'Fukuyama, Jun', 'Kuroda, Takaya']",TV,2010
31,32,Re:Zero kara Hajimeru Isekai Seikatsu,8.40,,https://myanimelist.net/anime/31240/Re_Zero_kara_Hajimeru_Isekai_Seikatsu,"['Comedy', 'Drama', 'Romance', 'School', 'Slice of Life', 'Supernatural']",Kyoto Animation,"['Nakamura, Yuuichi', 'Nakahara, Mai', 'Kuwashima, Houko', 'Hirohashi, Ryou', 'Nonaka, Ai', 'Noto, Mamiko', 'Sakaguchi, Daisuke', 'Kanda, Akemi', 'Okiayu, Ryotaro', 'Inoue, Kikuko']",TV,2007
32,33,Shigatsu wa Kimi no Uso,8.87,,https://myanimelist.net/anime/23273/Shigatsu_wa_Kimi_no_Uso,"['Drama', 'Fantasy', 'Psychological', 'Thriller']",White Fox,"['Takahashi, Rie', 'Kobayashi, Yuusuke', 'Minase, Inori', 'Horie, Yui', 'Murakawa, Rie', 'Arai, Satomi', 'Matsuoka, Yoshitsugu', 'Uchiyama, Yumi', 'Iguchi, Yuka', 'Horiuchi, Kenyuu']",TV,2016
33,34,Durarara!!,8.28,,https://myanimelist.net/anime/6746/Durarara,"['Action', 'Horror', 'Supernatural', 'Ecchi', 'Shounen']",Madhouse,"['Sawashiro, Miyuki', 'Suwabe, Junichi', 'Hiyama, Nobuyuki', 'Inoue, Marina', 'Kitamura, Eri', 'Fukui, Yukari', 'Taketatsu, Ayana', 'Takeuchi, Junko', 'Miyano, Mamoru', 'Taniyama, Kishou']",TV,2010
34,35,Highschool of the Dead,7.34,,https://myanimelist.net/anime/8074/Highschool_of_the_Dead,"['Action', 'Adventure', 'Fantasy', 'Shounen', 'Super Power']",Madhouse,"['Ise, Mariya', 'Han, Megumi', 'Sawashiro, Miyuki', 'Fujiwara, Keiji', 'Namikawa, Daisuke', 'Uchiyama, Kouki', 'Miyano, Mamoru', 'Ginga, Banjou', 'Fujimura, Ayumi', 'Yamaguchi, Kappei']",TV,2011
35,36,Clannad,8.20,,https://myanimelist.net/anime/2167/Clannad,"['Drama', 'Music', 'Romance', 'School', 'Shounen']",A-1 Pictures,"['Taneda, Risa', 'Hanae, Natsuki', 'Sakura, Ayane', 'Osaka, Ryota', 'Hayami, Saori', 'Minase, Inori', 'Kayano, Ai', 'Kaji, Yuki', 'Sonozaki, Mie', 'Ishigami, Shizuka']",TV,2014
36,37,One Piece,8.53,,https://myanimelist.net/anime/21/One_Piece,"['Action', 'Adventure', 'Comedy', 'Super Power', 'Drama', 'Fantasy', 'Shounen']",Toei Animation,"['Tanaka, Mayumi', 'Nakai, Kazuya', 'Hirata, Hiroaki', 'Yamaguchi, Yuriko', 'Ootani, Ikue', 'Okamura, Akemi', 'Yamaguchi, Kappei', 'Cho', 'Yao, Kazuki', 'Kamiya, Hiroshi']",TV,1999
37,38,Boku dake ga Inai Machi,8.55,,https://myanimelist.net/anime/31043/Boku_dake_ga_Inai_Machi,"['Action', 'Adventure', 'Comedy', 'Drama', 'Sci-Fi', 'Space']",Sunrise,"['Yamadera, Kouichi', 'Tada, Aoi', 'Hayashibara, Megumi', 'Ishizuka, Unshou', 'Yamadera, Kouichi', 'Wakamoto, Norio', 'Horiuchi, Kenyuu', 'Takashima, Gara', 'Ebara, Masashi', 'Ginga, Banjou']",TV,1998
38,39,Cowboy Bebop,8.81,,https://myanimelist.net/anime/1/Cowboy_Bebop,"['Mystery', 'Psychological', 'Supernatural', 'Seinen']",A-1 Pictures,"['Mitsushima, Shinnosuke', 'Yuuki, Aoi', 'Takayama, Minami', 'Akasaki, Chinatsu', 'Taichi, You', 'Miyamoto, Mitsuru', 'Mizushima, Takahiro', 'Kito, Akari', 'Okamura, Akemi', 'Nanase, Ayaka']",TV,2016
39,40,Sen to Chihiro no Kamikakushi,8.91,,https://myanimelist.net/anime/199/Sen_to_Chihiro_no_Kamikakushi,"['Adventure', 'Supernatural', 'Drama']",Studio Ghibli,"['Irino, Miyu', 'Hiiragi, Rumi', 'Gashuin, Tatsuya', 'Sugawara, Bunta', 'Natsuki, Mari', 'Tamai, Yumi', 'Natsuki, Mari']",Movie,2001
40,41,Tokyo Ghoul âA,7.40,,https://myanimelist.net/anime/27899/Tokyo_Ghoul_√A,"['Action', 'Mystery', 'Horror', 'Psychological', 'Supernatural', 'Drama', 'Seinen']",Studio Pierrot,"['Hanae, Natsuki', 'Amamiya, Sora', 'Kugimiya, Rie', 'Miyano, Mamoru', 'Sakurai, Takahiro', 'Toyonaga, Toshiyuki', 'Sakamoto, Maaya', 'Kaji, Yuki', 'Namikawa, Daisuke', 'Konishi, Katsuyuki']",TV,2015
41,42,Shingeki no Kyojin Season 2,8.45,,https://myanimelist.net/anime/25777/Shingeki_no_Kyojin_Season_2,"['Action', 'Military', 'Mystery', 'Super Power', 'Drama', 'Fantasy', 'Shounen']",Wit Studio,"['Ishikawa, Yui', 'Kaji, Yuki', 'Inoue, Marina', 'Kamiya, Hiroshi', 'Kobayashi, Yuu', 'Shimamura, Yuu', 'Park, Romi', 'Ono, Daisuke', 'Taniyama, Kishou', 'Fujita, Saki']",TV,2017
42,43,Kiseijuu: Sei no Kakuritsu,8.51,,https://myanimelist.net/anime/22535/Kiseijuu__Sei_no_Kakuritsu,"['Action', 'Drama', 'Fantasy', 'Military', 'Mystery', 'Shounen', 'Super Power']",Wit Studio,"['Ishikawa, Yui', 'Kaji, Yuki', 'Inoue, Marina', 'Kamiya, Hiroshi', 'Kobayashi, Yuu', 'Park, Romi', 'Shimamura, Yuu', 'Ono, Daisuke', 'Taniyama, Kishou', 'Fujita, Saki']",TV,2017
43,44,Boku no Hero Academia 2nd Season,8.72,,https://myanimelist.net/anime/33486/Boku_no_Hero_Academia_2nd_Season,"['Action', 'Supernatural', 'Magic', 'Fantasy']",ufotable,"['Kawasumi, Ayako', 'Koyama, Rikiya', 'Seki, Tomokazu', 'Nakata, Jouji', 'Ohara, Sayaka', 'Ueda, Kana', 'Ootsuka, Akio', 'Kadowaki, Mai', 'Shitaya, Noriko', 'Midorikawa, Hikaru']",TV,2011
44,45,Nanatsu no Taizai,8.26,,https://myanimelist.net/anime/23755/Nanatsu_no_Taizai,"['Romance', 'Supernatural', 'Mystery', 'Vampire']",Shaft,"['Saito, Chiwa', 'Kamiya, Hiroshi', 'Horie, Yui', 'Katou, Emiri', 'Sawashiro, Miyuki', 'Hanazawa, Kana', 'Sakurai, Takahiro', 'Kitamura, Eri', 'Iguchi, Yuka']",TV,2009
45,46,Fate/Zero,8.43,,https://myanimelist.net/anime/10087/Fate_Zero,"['Slice of Life', 'Supernatural', 'Drama']",A-1 Pictures,"['Kayano, Ai', 'Irino, Miyu', 'Tomatsu, Haruka', 'Toyosaki, Aki', 'Hayami, Saori', 'Sakurai, Takahiro', 'Ogata, Mitsuru', 'Makino, Yui', 'Mizuhara, Kaoru', 'Ono, Fuyuka']",TV,2011
46,47,Bakemonogatari,8.35,,https://myanimelist.net/anime/5081/Bakemonogatari,"['Game', 'Mystery', 'Psychological', 'Drama', 'Thriller']",Madhouse,"['Maeno, Tomoaki', 'Ookubo, Rumi', 'Seto, Asami', 'Uchiyama, Kouki', 'Hosoya, Yoshimasa', 'Tanezaki, Atsumi', 'Shiraishi, Ryoko', 'Fujiwara, Keiji', 'Yuzuki, Ryouka', 'Genda, Tessyo']",TV,2015
47,48,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,8.53,,https://myanimelist.net/anime/9989/Ano_Hi_Mita_Hana_no_Namae_wo_Bokutachi_wa_Mada_Shiranai,"['Action', 'Adventure', 'Ecchi', 'Fantasy', 'Magic', 'Shounen', 'Supernatural']",A-1 Pictures,"['Suzuki, Tatsuhisa', 'Kaji, Yuki', 'Amamiya, Sora', 'Fukuyama, Jun', 'Takagi, Yuuhei', 'Kuno, Misaki', 'Yuuki, Aoi', 'Sakamoto, Maaya', 'Koiwai, Kotori', 'Miyano, Mamoru']",TV,2014
48,49,Death Parade,8.25,,https://myanimelist.net/anime/28223/Death_Parade,"['Game', 'Mystery', 'Psychological', 'Drama', 'Thriller']",Madhouse,"['Maeno, Tomoaki', 'Ookubo, Rumi', 'Seto, Asami', 'Uchiyama, Kouki', 'Hosoya, Yoshimasa', 'Tanezaki, Atsumi', 'Shiraishi, Ryoko', 'Yuzuki, Ryouka', 'Fujiwara, Keiji', 'Genda, Tessyo']",TV,2015
49,50,Neon Genesis Evangelion,8.32,,https://myanimelist.net/anime/30/Neon_Genesis_Evangelion,"['Action', 'Sci-Fi', 'Super Power', 'Drama', 'Romance']",Production I.G,"['Kayano, Ai', 'Kaji, Yuki', 'Nakamura, Yuuichi', 'Hanazawa, Kana', 'Taketatsu, Ayana', 'Shimamura, Yuu', 'Uchiyama, Kouki', 'Canna, Nobutoshi', 'Kayano, Ai', 'Okamoto, Nobuhiko']",TV,2011
50,51,Hataraku Maou-sama!,7.96,,https://myanimelist.net/anime/15809/Hataraku_Maou-sama,"['Drama', 'Magic', 'Psychological', 'Thriller']",Shaft,"['Saito, Chiwa', 'Yuuki, Aoi', 'Nonaka, Ai', 'Mizuhashi, Kaori', 'Kitamura, Eri', 'Katou, Emiri', 'Gotou, Yuuko', 'Shintani, Ryouko', 'Mizuhashi, Kaori']",TV,2011
51,52,Guilty Crown,7.71,,https://myanimelist.net/anime/10793/Guilty_Crown,"['Comedy', 'Demons', 'Supernatural', 'Romance', 'Fantasy']",White Fox,"['Osaka, Ryota', 'Hikasa, Yoko', 'Ono, Yuuki', 'Touyama, Nao', 'Shimono, Hiro', 'Itou, Kanae', 'Asakura, Azumi', 'Nishi, Asuka', 'Iguchi, Yuuichi', 'Uchiyama, Yumi']",TV,2013
52,53,Mahou Shoujo MadokaâMagica,8.45,,https://myanimelist.net/anime/9756/Mahou_Shoujo_Madoka★Magica,"['Action', 'Comedy', 'Super Power', 'School', 'Shounen']",Bones,"['Yamashita, Daiki', 'Kaji, Yuki', 'Okamoto, Nobuhiko', 'Miyake, Kenta', 'Sakura, Ayane', 'Ishikawa, Kaito', 'Yuuki, Aoi', 'Suwabe, Junichi', 'Masuda, Toshiki', 'Fukuen, Misato']",TV,2017
53,54,Shokugeki no Souma,8.52,,https://myanimelist.net/anime/28171/Shokugeki_no_Souma,"['Action', 'Sci-Fi', 'Horror', 'Shounen']",Manglobe,"['Hanazawa, Kana', 'Park, Romi', 'Katou, Masayuki', 'Sawashiro, Miyuki', 'Nomizu, Iori', 'Morikawa, Toshiyuki', 'Ono, Daisuke', 'Honda, Takako', 'Kaji, Yuki', 'Itou, Kumiko']",TV,2011
54,55,Deadman Wonderland,7.38,,https://myanimelist.net/anime/6880/Deadman_Wonderland,"['Ecchi', 'School', 'Shounen']",J.C.Staff,"['Matsuoka, Yoshitsugu', 'Taneda, Risa', 'Takahashi, Minami', 'Akasaki, Chinatsu', 'Okamoto, Nobuhiko', 'Sakurai, Takahiro', 'Ishigami, Shizuka', 'Koyama, Rikiya', 'Hanae, Natsuki', 'Suwabe, Junichi']",TV,2015
55,56,Kono Subarashii Sekai ni Shukufuku wo!,8.18,,https://myanimelist.net/anime/30831/Kono_Subarashii_Sekai_ni_Shukufuku_wo,"['Slice of Life', 'Comedy', 'Supernatural', 'Drama', 'Romance']",Kyoto Animation,"['Nakamura, Yuuichi', 'Nakahara, Mai', 'Koorogi, Satomi', 'Kuwashima, Houko', 'Hirohashi, Ryou', 'Nonaka, Ai', 'Okiayu, Ryotaro', 'Noto, Mamiko', 'Sakaguchi, Daisuke', 'Inoue, Kikuko']",TV,2008
56,57,Ansatsu Kyoushitsu,8.21,,https://myanimelist.net/anime/24833/Ansatsu_Kyoushitsu,"['Adventure', 'Comedy', 'Fantasy', 'Magic', 'Parody', 'Supernatural']",Studio Deen,"['Takahashi, Rie', 'Fukushima, Jun', 'Amamiya, Sora', 'Kayano, Ai', 'Horie, Yui', 'Suwa, Ayaka', 'Suwa, Ayaka', 'Hara, Sayuri', 'Yasumoto, Hiroki', 'Inada, Tetsu']",TV,2016
57,58,Clannad: After Story,9.00,,https://myanimelist.net/anime/4181/Clannad__After_Story,"['Comedy', 'Demons', 'Ecchi', 'Harem', 'Romance', 'School']",TNK,"['Hikasa, Yoko', 'Kaji, Yuki', 'Itou, Shizuka', 'Taketatsu, Ayana', 'Asakura, Azumi', 'Nojima, Kenji', 'Nishi, Asuka', 'Suwabe, Junichi', 'Tachiki, Fumihiko', 'Nabatame, Hitomi']",TV,2012
58,59,High School DxD,7.59,,https://myanimelist.net/anime/11617/High_School_DxD,"['Action', 'Comedy', 'School', 'Shounen']",Lerche,"['Fukuyama, Jun', 'Okamoto, Nobuhiko', 'Fuchigami, Mai', 'Suzaki, Aya', 'Sugita, Tomokazu', 'Itou, Shizuka', 'Miyano, Mamoru', 'Fujita, Saki', 'Ogata, Megumi', 'Numakura, Manami']",TV,2015
59,60,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,7.82,,https://myanimelist.net/anime/28121/Dungeon_ni_Deai_wo_Motomeru_no_wa_Machigatteiru_Darou_ka,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Romance']",J.C.Staff,"['Matsuoka, Yoshitsugu', 'Minase, Inori', 'Oonishi, Saori', 'Uchida, Maaya', 'Hayami, Saori', 'Okamoto, Nobuhiko', 'Murakawa, Rie', 'Hosoya, Yoshimasa', 'Terasaki, Yuka', 'Takahashi, Minami']",TV,2015
60,61,Koe no Katachi,9.03,,https://myanimelist.net/anime/28851/Koe_no_Katachi,"['Slice of Life', 'Comedy', 'Drama', 'Romance', 'School']",Kyoto Animation,"['Uchida, Maaya', 'Uesaka, Sumire', 'Fukuyama, Jun', 'Akasaki, Chinatsu', 'Asakura, Azumi', 'Sendai, Eri', 'Hoshi, Soichiro', 'Fukuhara, Kaori', 'Shitara, Mami', 'Shirakawa, Manami']",TV,2012
